PM2.5,PM10,NO2,SO2,CO,OZONE,NH3,temperature,humidity,wind_speed,wind_direction,pressure,precipitation,boundary_layer_height,aod550,aerosol_index,cloud_fraction,angstrom_exponent,latitude,longitude,hour,day_of_week,month,is_weekend,AQI,city,timestamp
41.0,61.0,10.0,3.0,52.0,44.0,2.0,12.588620559136555,84.29952574287582,3.7410452794241085,64.6859191932871,1015.6067376582391,0.0,-2.5554070991449827,0.13322763060359305,0.4948883254528904,0.2243050006034107,1.5237358168135382,23.163798,72.677768,22,2,10,0,68.33333333333333,Gandhinagar,2025-10-29 22:00:00
43.0,96.0,16.0,8.0,48.0,27.0,5.0,15.08544582685061,76.98240592877579,2.78643077246806,343.45836981314005,999.3140988445814,0.0,53.54918099752001,0.07378828795935943,0.13425910191199408,0.08300636248250873,1.6939096133778193,25.619651,85.147382,22,2,10,0,71.66666666666667,Patna,2025-10-29 22:00:00
102.0,84.0,3.0,30.0,51.0,94.8,4.8,16.221200474382893,88.8174921470112,1.6992807659256701,322.95969358292774,1015.5049285034588,0.0,34.64482094969711,0.10196174297638497,0.2819880090243579,0.38552088586814537,1.6918881064166178,26.181742,91.78063,22,2,10,0,240.0,Guwahati,2025-10-29 22:00:00
284.0,197.0,64.0,25.0,72.0,63.0,11.0,10.232020377030883,70.36072705412364,4.26716156367255,60.89828178327127,1038.1153959687015,0.0,-4.055061558223931,0.10062747357406668,0.11536434684969094,0.16683821536274843,1.8852571709710786,29.4723508,77.7194031,22,2,10,0,426.15384615384613,Muzaffarnagar,2025-10-29 22:00:00
73.0,58.0,18.0,3.0,12.0,59.0,5.0,15.117066299441817,87.61109970112452,3.5514297603145666,106.49667509875297,1014.4808941979827,0.3841754625541701,-71.22207636490555,0.13641456518283201,0.44832937440781473,0.11016740265884253,1.870408008962734,26.358805,73.047444,22,2,10,0,143.33333333333334,Jodhpur,2025-10-29 22:00:00
44.2,56.6,19.8,12.8,36.0,11.0,2.0,14.421813964679977,79.14270937431557,1.4676717079866033,178.26368764005727,1011.3824461360248,0.6938250073066559,38.93489132561187,0.10174635307047446,0.22049745026632644,0.2207247755170363,1.7455874694770661,14.465052,78.824187,22,2,10,0,0.0,Kadapa,2025-10-29 22:00:00
35.0,34.0,35.0,38.0,14.0,26.0,5.0,12.158531107216325,86.070257928945,2.782123058617517,170.7511193526349,1009.7944041747381,0.28697635970093505,-168.15770997674448,0.07688390997537625,0.3321515676038289,0.36811343741457103,1.329763903510503,26.90723,80.98579,22,2,10,0,58.333333333333336,Lucknow,2025-10-29 22:00:00
32.0,63.0,8.0,17.0,18.0,25.0,1.0,10.40415777053909,83.74485129314085,4.215517523304465,239.92669710966086,1010.3035837470314,0.0,214.13831185110726,0.07253864609439017,0.17659687069048915,0.2782115130579514,1.1798525688110915,20.021503,73.813844,22,2,10,0,53.333333333333336,Nashik,2025-10-29 22:00:00
66.0,53.0,5.0,8.0,11.0,3.0,2.0,13.70758636486098,76.26542707687648,2.022245838296761,121.1775401498114,1013.4739867131641,1.6662803080479853,-57.68918695231533,0.08345644946935507,0.018013891473317056,0.254160723346467,1.6481090731748873,22.368195,82.746431,22,2,10,0,120.0,Korba,2025-10-29 22:00:00
58.0,51.0,24.0,13.0,34.0,40.0,11.0,12.697387982590019,85.18342198246955,5.099033154879003,11.371012137231133,1022.2463368291277,0.0,5.963036992016958,0.1758757174850274,0.5433050198264189,0.22050800511303126,1.6934545950123372,23.020509,72.579261,22,2,10,0,96.66666666666666,Ahmedabad,2025-10-29 22:00:00
47.0,62.0,29.0,15.0,35.0,53.0,15.0,13.714466807501143,83.53612536825322,2.5586362415453134,313.0321218533927,1026.5658338582798,1.813580987980743,-77.73714848459112,0.15371751423348912,0.35547875934147116,0.26640797845395897,1.4951741779090053,26.906111,80.948222,22,2,10,0,78.33333333333333,Lucknow,2025-10-29 22:00:00
263.0,177.0,76.0,18.0,92.0,43.0,11.0,12.897218480750574,72.44306921960307,4.126649181760965,335.8323684455879,1013.0460108709714,0.0,81.98881539817926,0.05,0.2768322824567314,0.3575755586862269,1.6575862504992105,28.685382,77.453839,22,2,10,0,410.0,Ghaziabad,2025-10-29 22:00:00
23.0,19.0,9.0,5.0,24.0,5.0,3.0,11.249861013195893,81.79491555195669,0.0075576426635262095,221.70603529879793,999.9980715840657,0.0,-12.841214653971274,0.13549217357519766,0.2526820265997106,0.20241794327305043,1.4886119082550413,25.56752,83.966379,22,2,10,0,38.333333333333336,Buxar,2025-10-29 22:00:00
106.8,104.4,21.0,11.0,23.0,21.0,4.2,14.476787971753362,77.36202475848721,2.0506795876728123,327.17753917807045,1020.6369771584805,0.0,112.73740104455516,0.14424928009562035,0.44175623213119264,0.2993167513263735,1.5886581853214852,26.509954,80.249612,22,2,10,0,0.0,Kanpur,2025-10-29 22:00:00
